,KID,Teff,logg,Mass,Prot,Prot_err,Rper,LPH,w,DC,Flag
0,892376,3813,4.47,0.4699,1.5319999999999998,0.006999999999999999,7306.69,0.823,0.4503,0,---
1,1026146,4261,4.57,0.6472,14.890999999999998,0.12,11742.56,1.405,0.7229,0,---
2,1026474,4122,4.56,0.5914,1.569,0.006,30471.8,1.204,0.6061,0,---
3,1162635,3760,4.77,0.4497,15.677999999999999,0.019,10207.47,0.978,0.5445,1,---
4,1164102,4045,4.62,0.5606,31.496,0.474,5139.74,0.568,0.3939,0,---
5,1292688,3774,4.74,0.455,42.659,2.131,6320.15,0.53,0.3172,1,---
6,1297303,4296,4.61,0.6613,27.333000000000002,0.193,6189.53,0.777,0.5124,0,---
7,1429921,4217,4.72,0.6295,23.131,0.11,15370.91,0.943,0.5839,0,---
8,1430349,4285,4.54,0.6569,34.717,0.752,3244.49,0.376,0.2563,0,---
9,1430893,3925,4.72,0.5133,17.045,0.026000000000000002,13583.24,1.429,0.7204,1,---
10,1431060,4195,4.71,0.6206,39.681999999999995,0.8490000000000001,4701.32,0.45799999999999996,0.2904,0,---
11,1431116,4341,4.61,0.6795,38.757,1.038,5648.64,0.696,0.402,0,---
12,1432700,4305,4.6,0.665,31.733,0.263,5284.55,0.619,0.4368,0,---
13,1432745,4354,4.59,0.6848,22.189,0.21899999999999997,17414.45,1.308,0.6561,0,---
14,1435229,4050,4.52,0.5626,23.469,0.027000000000000003,4784.67,0.9159999999999999,0.5656,0,---
15,1569682,3857,4.74,0.4869,17.354,0.222,4018.49,0.522,0.2989,1,---
16,1569863,3589,4.91,0.3862,13.321,0.369,30052.33,1.5759999999999998,0.7713,1,---
17,1570915,4055,4.56,0.5646,12.315,0.163,9095.55,1.228,0.6547,0,---
18,1571364,4404,4.6,0.705,20.449,0.132,7352.71,1.021,0.6093,0,---
19,1572802,3878,4.73,0.495,0.374,0.004,70335.54,1.35,0.6488,1,---
20,1573478,4233,4.55,0.6359,18.018,0.24,9514.27,0.988,0.5708,0,---
21,1577265,3898,4.7,0.5028,15.152999999999999,0.12300000000000001,10275.54,0.9329999999999999,0.5224,1,---
22,1718071,3857,4.77,0.4869,21.712,0.20199999999999999,5137.03,0.555,0.3301,1,---
23,1721911,3705,4.81,0.429,29.62,0.124,4048.94,0.978,0.5906,1,---
24,1722506,4270,4.43,0.6509,10.652999999999999,0.073,32481.25,1.633,0.747,0,---
25,1849590,4070,4.4,0.5706,16.197,0.121,10345.22,1.3530000000000002,0.7215,0,---
26,1865663,4230,4.82,0.6347,31.319000000000003,0.016,9731.26,0.789,0.4965,0,---
27,1866535,3754,4.79,0.4474,24.925,0.37799999999999995,3210.84,0.565,0.3473,1,---
28,1866924,4117,4.58,0.5894,27.24,0.27699999999999997,7349.79,0.8390000000000001,0.5531,0,---
29,1866986,3832,4.52,0.4772,37.348,0.182,8532.76,0.9420000000000001,0.5146,0,---
30,1867358,3625,4.82,0.3993,32.879,0.735,4835.13,0.44799999999999995,0.297,1,---
31,1868579,4069,4.67,0.5702,38.173,0.377,5494.77,0.535,0.3431,0,---
32,1870952,3888,4.73,0.4989,24.278000000000002,0.273,8661.33,1.033,0.6339,1,---
33,1871120,4011,4.72,0.5472,37.851,0.46299999999999997,5451.74,1.004,0.5253,0,---
34,1872885,3688,4.32,0.4226,1.8719999999999999,0.003,60773.37,1.5119999999999998,0.7115,0,---
35,1873523,3934,4.72,0.5169,20.429000000000002,0.441,6629.11,0.9890000000000001,0.5791,1,---
36,1873543,3702,4.52,0.4279,11.548,0.11199999999999999,12257.75,0.953,0.5216,0,---
37,1996574,4132,4.59,0.5954,20.48,0.225,3632.31,0.449,0.2564,0,---
38,2010738,4067,4.55,0.5694,26.741,0.105,9747.68,1.023,0.5969,0,---
39,2012731,3471,4.98,0.3441,36.258,0.23800000000000002,9061.6,0.804,0.5086,1,---
40,2013627,4084,4.57,0.5762,13.96,0.32799999999999996,4507.06,1.214,0.6601,0,---
41,2013754,4280,4.57,0.6549,4.9,0.003,14074.56,1.5290000000000001,0.7527,0,---
42,2014203,4202,4.57,0.6235,10.796,0.237,17550.83,1.4669999999999999,0.7634,0,---
43,2015703,4313,4.63,0.6682,22.448,0.052000000000000005,12041.84,0.993,0.6111,0,---
44,2015767,4078,4.53,0.5738,18.502,0.20800000000000002,6944.72,0.772,0.4547,0,---
45,2016979,4368,4.69,0.6904,17.253,0.23600000000000002,7871.45,0.782,0.45,0,SM1
46,2017692,4250,4.62,0.6428,11.431,0.114,22345.13,1.37,0.726,0,---
47,2018383,4267,4.46,0.6496,30.372,0.588,6466.69,0.5670000000000001,0.3824,0,---
48,2020185,4289,4.65,0.6585,21.537,0.1,14884.95,1.117,0.6499,0,---
49,2020638,4337,4.7,0.6779,18.35,0.057999999999999996,9859.5,0.78,0.4541,0,---
50,2140909,4139,4.8,0.5982,38.622,0.379,5515.64,0.643,0.3873,0,---
51,2142372,3705,4.81,0.429,18.641,0.02,7038.35,0.8340000000000001,0.4834,1,---
52,2142451,3482,4.86,0.348,33.671,0.6920000000000001,4652.62,0.431,0.2836,1,---
53,2156061,4085,4.45,0.5766,30.03,1.253,6833.05,0.8009999999999999,0.5163,0,---
54,2156718,4176,4.51,0.613,21.665,0.349,5622.15,0.536,0.3181,0,---
55,2157356,3650,4.87,0.4085,13.607000000000001,0.046,16120.61,1.43,0.7363,1,---
56,2160105,4352,4.66,0.684,17.089000000000002,0.93,10373.06,1.25,0.7004,0,---
57,2161569,4303,4.48,0.6642,21.366,0.083,6616.18,0.865,0.5207,0,---
58,2162907,3830,4.74,0.4765,26.5,0.10400000000000001,8300.13,0.991,0.6096,1,SM1
59,2163101,4112,4.64,0.5874,25.636999999999997,0.133,10294.08,1.146,0.6238,0,---
60,2163610,3913,4.71,0.5086,42.246,0.18899999999999997,6033.87,0.439,0.2603,1,---
61,2163634,4371,4.41,0.6916,30.462,0.33799999999999997,3745.7,0.723,0.4861,0,---
62,2167693,3766,4.76,0.452,17.575,0.079,6583.63,0.9229999999999999,0.5253,1,---
63,2282712,3451,4.92,0.3372,20.167,0.35,13719.32,1.508,0.7441,1,---
64,2282944,4312,4.55,0.6678,32.306999999999995,0.49700000000000005,5044.58,0.5329999999999999,0.3713,0,---
65,2285598,3951,4.49,0.5235,37.056999999999995,0.36200000000000004,3207.33,0.759,0.4478,0,---
66,2300039,3402,4.91,0.3203,1.712,0.006,11605.98,1.1840000000000002,0.5979,1,---
67,2300440,4302,4.6,0.6638,21.326,0.081,9261.61,1.043,0.6313,0,---
68,2301872,3968,4.42,0.5302,22.888,0.055999999999999994,1749.22,0.7340000000000001,0.449,0,---
69,2302851,3984,4.47,0.5365,12.217,0.032,11818.05,1.183,0.6298,0,---
70,2302997,3933,4.73,0.5165,25.601999999999997,0.14,13484.9,0.997,0.6112,1,---
71,2305760,4248,4.69,0.642,19.57,1.41,4208.39,0.6940000000000001,0.4102,0,---
72,2309152,3938,4.72,0.5184,31.901,0.317,5630.91,0.62,0.4347,1,---
73,2311842,4379,4.56,0.6949,19.754,0.161,9430.35,1.119,0.6656,0,---
74,2423549,3730,4.82,0.4384,39.804,0.618,7082.88,0.649,0.3987,1,---
75,2424688,3956,4.73,0.5255,11.095,0.037000000000000005,36050.62,1.433,0.743,1,---
76,2435893,3903,4.7,0.5047,41.146,0.424,4255.18,0.48,0.2916,1,---
77,2436635,4398,4.57,0.7025,1.175,0.004,108038.43,1.675,0.7984,0,---
78,2437270,4242,4.54,0.6396,23.778000000000002,0.302,3232.09,0.648,0.3988,0,---
79,2437317,4250,4.7,0.6428,36.913000000000004,0.281,33479.78,1.129,0.5586,0,---
80,2438151,4403,4.58,0.7046,49.379,0.405,198439.06,1.2830000000000001,0.5765,0,---
81,2441409,4312,4.62,0.6678,25.364,0.075,14559.18,1.122,0.6131,0,---
82,2441562,3617,4.87,0.3964,10.104,0.005,19611.0,1.571,0.7861,1,---
83,2441891,3744,4.79,0.4437,15.472000000000001,0.018000000000000002,8800.57,1.396,0.7421,1,---
84,2441989,4223,4.73,0.6319,38.393,0.273,12791.87,1.125,0.5539,0,---
85,2442004,3975,4.7,0.5329999999999999,8.865,0.059000000000000004,50063.28,1.5619999999999998,0.779,1,---
86,2442866,4344,4.49,0.6807,2.9339999999999997,0.021,75486.54,1.6440000000000001,0.7987,0,---
87,2443037,4343,4.37,0.6803,11.652000000000001,0.048,8457.66,1.047,0.5662,0,---
88,2443364,4013,4.23,0.5479999999999999,35.915,0.628,3225.39,0.374,0.2705,0,---
89,2443935,3862,4.74,0.4888,34.068000000000005,0.6990000000000001,6409.76,0.9690000000000001,0.5384,1,---
90,2444406,4195,4.58,0.6206,16.625,0.151,4497.38,1.056,0.5989,0,---
91,2445782,4220,4.71,0.6307,27.609,0.139,11710.82,1.093,0.5961,0,---
92,2446934,3774,4.78,0.455,26.101,0.179,5338.19,0.675,0.4242,1,---
93,2448311,4254,4.66,0.6444,24.021,0.10099999999999999,14975.31,1.202,0.6368,0,---
94,2448958,4157,4.58,0.6054,23.051,0.162,5956.86,1.0490000000000002,0.6324,0,SM1
95,2554730,3389,4.93,0.3159,45.961999999999996,0.341,11848.81,0.92,0.5018,1,---
96,2555523,3869,4.75,0.4915,26.121,0.156,4172.41,0.68,0.4303,1,---
97,2557350,3627,4.86,0.4001,18.979,0.07200000000000001,8548.2,1.028,0.5792,1,---
98,2557669,3672,4.83,0.4167,1.864,0.003,34378.5,1.2109999999999999,0.6054,1,---
99,2558314,4052,4.7,0.5634,27.59,0.145,7366.96,1.048,0.595,0,---
100,2568503,4099,4.36,0.5822,34.241,0.222,4444.9,0.504,0.3682,0,---
101,2570277,3836,4.65,0.4788,45.99,0.937,2713.74,0.539,0.297,0,---
102,2570846,3781,4.75,0.4577,10.913,0.034,37038.12,1.518,0.7768,1,---
103,2572352,4342,4.69,0.6799,39.222,7.596,4473.66,0.48700000000000004,0.3073,0,---
104,2574013,4220,4.6,0.6307,44.623000000000005,0.33399999999999996,5221.22,0.536,0.2965,0,---
105,2574427,3897,4.72,0.5024,13.635,0.183,4970.16,0.987,0.5425,1,---
106,2575433,3857,4.74,0.4869,15.568,0.046,7664.14,0.905,0.5094,1,---
107,2576013,4206,4.58,0.6251,23.531999999999996,0.154,14099.66,1.11,0.6323,0,---
108,2576328,4311,4.6,0.6674,11.569,0.078,10654.69,1.3259999999999998,0.7040000000000001,0,---
109,2577210,4351,4.76,0.6836,31.136,0.124,7808.21,0.856,0.5117,0,---
110,2577743,3511,4.06,0.3582,32.181,0.114,21087.56,1.399,0.6694,0,---
111,2581298,3764,4.77,0.4512,17.539,0.038,11052.34,1.371,0.7353,1,---
112,2581444,4094,4.55,0.5802,11.975999999999999,0.045,15412.99,1.538,0.7497,0,---
113,2583553,4263,4.63,0.648,25.116999999999997,0.098,27525.42,1.3330000000000002,0.6472,0,---
114,2584692,4108,4.47,0.5858,42.211000000000006,0.12,5730.57,0.623,0.3564,0,---
115,2692704,3624,4.1,0.39899999999999997,14.902999999999999,0.19899999999999998,28900.8,0.7809999999999999,0.4468,0,---
116,2692708,3531,4.05,0.3653,29.878,0.115,16109.7,0.927,0.5854,0,---
117,2692772,3790,4.79,0.4611,28.03,0.121,9140.22,1.111,0.6204,1,---
118,2693993,4301,4.66,0.6634,23.701,0.109,22207.62,1.023,0.6179,0,---
119,2694414,4244,4.46,0.6404,19.741,0.2,6301.16,1.014,0.5982,0,---
120,2695622,3743,4.79,0.4433,16.171,0.355,8105.28,1.024,0.5679,1,---
121,2695885,3368,4.94,0.3088,56.728,0.536,7657.05,0.77,0.4028,1,---
122,2708172,4126,4.58,0.593,38.828,0.32299999999999995,3934.68,0.617,0.3747,0,---
123,2708787,4084,4.55,0.5762,23.83,0.047,5631.86,1.212,0.6474,0,---
124,2713086,3921,4.72,0.5118,4.14,0.003,105492.59,1.7269999999999999,0.7861,1,---
125,2713304,3981,4.7,0.5353,29.857,0.336,23701.19,0.966,0.5626,1,---
126,2714000,3777,4.77,0.4562,26.884,0.18899999999999997,6826.4,0.804,0.509,1,---
127,2714077,4327,4.73,0.6739,13.802,0.012,15002.49,1.222,0.6667,0,---
128,2716857,4248,4.37,0.642,8.698,0.057999999999999996,11920.33,1.294,0.6668,0,---
129,2718397,4004,4.47,0.5444,22.445999999999998,0.203,6550.76,1.153,0.6577,0,---
130,2718781,4113,4.57,0.5878,23.378,0.078,7644.83,0.9520000000000001,0.5901,0,---
131,2718935,3761,4.8,0.4501,33.05,0.431,4321.93,0.5710000000000001,0.3975,1,---
132,2831983,4248,4.5,0.642,10.039,0.07200000000000001,15085.22,1.534,0.7615,0,---
133,2832175,4199,4.49,0.6223,18.987000000000002,0.359,3748.03,0.58,0.3391,0,---
134,2832398,3800,4.79,0.465,14.707,0.033,17057.3,1.3419999999999999,0.7120000000000001,1,---
135,2832720,3204,5.13,0.2556,24.142,5.682,12013.49,0.857,0.5072,1,---
136,2832741,4380,4.55,0.6953,19.892,3.9389999999999996,4008.23,0.823,0.4852,0,---
137,2834075,3914,4.73,0.509,37.55,2.9930000000000003,4943.01,0.818,0.4669,1,---
138,2834564,3524,4.88,0.3628,21.875,0.599,15657.19,1.545,0.7263,1,---
139,2834612,3716,4.81,0.4331,13.436,0.083,19022.58,1.3769999999999998,0.7140000000000001,1,---
140,2834637,3233,5.08,0.2647,23.226999999999997,0.079,27652.08,1.521,0.7444,1,---
141,2834754,4211,4.41,0.6271,27.236,0.09,10147.87,1.125,0.6048,0,---
142,2834778,3624,4.82,0.39899999999999997,41.07899999999999,0.209,6183.21,0.7609999999999999,0.4473,1,---
143,2835051,4061,4.33,0.5670000000000001,39.835,11.617,2579.27,0.435,0.2777,0,---
144,2835274,4078,4.54,0.5738,13.36,0.049,4532.4,1.031,0.5686,0,---
145,2835393,3735,4.84,0.4403,14.995,0.059000000000000004,14010.13,1.245,0.6629,1,---
146,2836098,3971,4.7,0.5314,29.358,0.07,8256.55,1.058,0.5870000000000001,1,---
147,2837126,4043,4.36,0.5599,34.624,0.107,2104.82,0.51,0.3675,0,---
148,2845689,4106,4.58,0.585,13.555,0.019,18184.84,1.34,0.7247,0,---
149,2847357,3666,4.83,0.4145,32.441,0.08800000000000001,5909.03,1.091,0.5987,1,---
150,2852669,4201,4.39,0.6231,12.27,0.054000000000000006,12728.99,1.193,0.6414,0,---
151,2859045,4220,4.53,0.6307,24.459,0.09,14205.22,1.273,0.6446,0,---
152,2859114,3395,4.98,0.3179,38.698,0.809,5471.23,0.8540000000000001,0.5154,1,---
153,2860547,4120,4.55,0.5906,25.968000000000004,0.129,3503.92,0.852,0.5503,0,---
154,2861126,3598,4.86,0.3895,16.134,0.003,10163.19,0.6759999999999999,0.3929,1,---
155,2861880,4106,4.53,0.585,25.844,0.149,10421.25,0.897,0.5781,0,---
156,2865225,4110,4.59,0.5866,27.451999999999998,0.359,7228.97,0.888,0.5623,0,---
157,2969839,3685,4.8,0.4215,36.292,0.424,11004.48,0.848,0.5044,1,---
158,2971272,3695,4.81,0.4253,17.206,0.086,8468.57,0.983,0.5519,1,---
159,2971717,4258,4.62,0.6459999999999999,11.845999999999998,0.165,5273.16,1.1520000000000001,0.6186,0,---
160,2973297,4286,4.45,0.6573,25.092,0.131,6992.7,0.853,0.5437,0,---
161,2973361,3632,4.83,0.4019,45.917,0.546,3956.14,0.723,0.4053,1,---
162,2973500,3547,4.89,0.371,19.597,0.091,6863.06,0.813,0.4747,1,---
163,2973800,4249,4.48,0.6424,30.939,0.19899999999999998,3875.32,0.532,0.3597,0,---
164,2982913,4041,4.51,0.5591,18.59,0.04,6760.24,1.023,0.5908,0,---
165,2984144,4242,4.49,0.6396,34.277,0.5710000000000001,2644.39,0.47,0.3375,0,---
166,2985366,4208,4.37,0.6259,0.244,0.006,84608.58,1.68,0.7922,0,---
167,2987754,4279,4.57,0.6545,21.995,0.055,14463.25,1.214,0.6529,0,---
168,2988084,4348,4.61,0.6823,32.258,0.134,9143.05,0.8590000000000001,0.5032,0,---
169,2988458,3664,4.81,0.4137,17.658,0.523,8608.88,1.203,0.6553,1,---
170,2989438,4370,4.58,0.6912,21.621,0.155,4079.4,0.968,0.5869,0,---
171,2992347,4148,4.49,0.6018,31.285999999999998,0.156,7640.72,0.7929999999999999,0.4999,0,---
172,2992668,3726,4.52,0.4369,15.095,0.07200000000000001,26918.17,1.3630000000000002,0.7196,0,SM1
173,2994087,4286,4.5,0.6573,31.335,0.048,8963.32,0.851,0.5112,0,---
174,2994746,4389,4.37,0.6989,38.466,8.434,2615.57,0.452,0.2969,0,---
175,2995880,4338,4.67,0.6783,19.616,0.021,18142.91,1.385,0.6803,0,---
176,2997195,4083,4.58,0.5758,16.085,0.085,6846.79,0.866,0.4971,0,---
177,2998208,3567,4.86,0.3782,22.168000000000003,0.204,9286.34,1.0390000000000001,0.5979,1,---
178,3096944,3981,4.72,0.5353,43.328,0.605,4651.37,0.575,0.3272,1,---
179,3099491,3522,4.93,0.3621,34.991,0.51,5643.61,0.546,0.3777,1,---
180,3099533,3449,4.92,0.3365,39.259,0.244,6747.57,0.9359999999999999,0.5353,1,---
181,3099900,3601,4.88,0.3906,18.095,0.087,14438.9,1.328,0.7134,1,---
182,3100994,4112,4.59,0.5874,31.991999999999997,0.145,7359.45,0.966,0.5428,0,---
183,3101007,3901,4.7,0.504,13.450999999999999,0.156,20513.06,1.465,0.7521,1,---
184,3101129,4285,4.42,0.6569,27.394000000000002,2.355,1234.05,0.433,0.2594,0,SM2
185,3101830,4232,4.61,0.6355,24.516,0.054000000000000006,8440.79,0.9570000000000001,0.6032,0,---
186,3102749,4058,4.64,0.5658,8.163,1.696,1651.97,0.55,0.3096,0,---
187,3102763,3522,4.88,0.3621,14.561,0.036000000000000004,27608.69,1.355,0.6992,1,---
188,3103752,3379,4.94,0.3125,4.785,0.013999999999999999,21416.96,1.3869999999999998,0.6721,1,---
189,3109825,3832,4.38,0.4772,13.318,0.015,22475.9,1.5759999999999998,0.7451,0,---
190,3109945,3417,4.97,0.3254,45.448,1.057,5741.6,0.595,0.3613,1,---
191,3110319,4340,4.63,0.6791,16.643,3.483,6301.11,1.101,0.6231,0,---
192,3110684,4219,4.62,0.6303,33.076,0.633,11219.5,0.9009999999999999,0.514,0,---
193,3111995,3341,4.97,0.2998,37.751,0.826,7847.55,0.6459999999999999,0.4445,1,---
194,3112017,4156,4.62,0.605,16.408,0.024,6970.82,1.055,0.5974,0,---
195,3112821,4192,4.4,0.6194,11.387,0.129,11521.64,1.1740000000000002,0.627,0,---
196,3112828,4288,4.34,0.6581,9.949,0.016,17959.12,1.43,0.746,0,---
197,3112866,4156,4.56,0.605,38.283,1.516,6130.16,0.608,0.3742,0,---
198,3112890,4170,4.52,0.6106,7.547999999999999,0.162,17807.87,1.57,0.7854,0,---
199,3115879,3965,4.63,0.529,37.107,1.1079999999999999,6488.53,0.855,0.4816,0,---
200,3116544,3792,4.79,0.4619,42.001000000000005,9.764,2266.62,0.691,0.3978,1,---
201,3120513,4201,4.5,0.6231,31.811999999999998,0.18100000000000002,5863.49,0.701,0.4666,0,---
202,3120913,3751,4.8,0.4463,34.067,0.13,7055.94,1.072,0.5765,1,---
203,3123647,4312,4.77,0.6678,14.360999999999999,0.09,4910.74,0.873,0.4909,0,---
204,3130391,3916,4.7,0.5098,1.228,0.005,31378.95,1.426,0.6794,1,---
205,3216700,3897,4.73,0.5024,4.271,0.023,9476.9,1.035,0.5414,1,---
206,3218308,3920,4.28,0.5114,39.978,7.897,3239.33,0.679,0.3967,0,---
207,3218997,3531,4.85,0.3653,38.681999999999995,0.447,8863.66,0.838,0.499,1,---
208,3219400,3965,4.7,0.529,31.213,0.9470000000000001,5806.03,0.611,0.4227,1,---
209,3220742,3983,4.7,0.5361,14.992,0.078,9620.79,1.274,0.6926,1,---
210,3221541,4147,4.5,0.6014,20.146,0.06,8126.02,1.264,0.6786,0,---
211,3221915,4160,4.61,0.6066,36.57,0.77,5503.15,0.5770000000000001,0.375,0,---
212,3222610,4097,4.42,0.5814,4.91,0.004,12517.96,1.317,0.6583,0,---
213,3228485,4204,4.46,0.6243,35.479,0.705,3116.19,0.426,0.3113,0,---
214,3230797,4172,4.63,0.6114,39.635999999999996,1.242,3623.9,0.524,0.3243,0,---
215,3231403,3563,5.04,0.3768,33.796,0.406,6178.68,0.667,0.4563,1,---
216,3232979,4390,4.56,0.6993,11.07,0.022000000000000002,14316.26,1.412,0.7497,0,---
217,3233853,3846,4.76,0.4826,29.59,0.245,3714.03,0.7070000000000001,0.47200000000000003,1,---
218,3234193,4269,4.55,0.6505,32.023,0.27,4433.04,0.79,0.489,0,---
219,3234338,4151,4.65,0.603,17.391,0.20800000000000002,5680.2,0.6659999999999999,0.39,0,---
220,3234506,4289,4.51,0.6585,13.433,0.018000000000000002,14500.02,1.495,0.7312,0,---
221,3235295,4106,4.53,0.585,15.677,0.19399999999999998,3160.89,0.93,0.5292,0,---
222,3241079,4098,4.64,0.5818,13.302999999999999,0.017,14522.05,1.2819999999999998,0.6908,0,---
223,3244968,3998,4.41,0.542,18.572,0.125,6310.11,1.12,0.6404,0,---
224,3246721,3901,4.43,0.504,30.061999999999998,0.489,4457.06,0.91,0.5512,0,---
225,3322943,3963,4.7,0.5282,18.869,0.049,10393.38,1.162,0.6638,1,---
226,3323808,3536,4.14,0.3671,31.165,0.5489999999999999,4093.53,0.9890000000000001,0.5968,0,---
227,3323908,4259,4.65,0.6464,42.056999999999995,0.27,5642.12,0.499,0.2919,0,---
228,3325677,4189,4.56,0.6182,33.419000000000004,0.262,3803.7,0.512,0.3663,0,---
229,3326330,4028,4.45,0.5539,13.004000000000001,0.146,22690.89,1.565,0.7413,0,---
230,3326413,4198,4.67,0.6218,30.998,0.092,15276.82,0.7809999999999999,0.4981,0,---
231,3327092,3456,4.97,0.3389,36.352,1.354,4328.07,0.57,0.3992,1,---
232,3328210,4325,4.67,0.6731,33.872,0.861,5026.28,0.5920000000000001,0.40700000000000003,0,---
233,3328254,3509,4.91,0.3575,31.578000000000003,0.316,4763.42,0.6609999999999999,0.4351,1,---
234,3328711,4290,4.61,0.6589,32.512,0.28600000000000003,9023.73,0.856,0.5027,0,---
235,3329985,3401,4.97,0.32,46.523,0.84,7407.01,0.648,0.3833,1,---
236,3335194,3956,4.72,0.5255,12.81,0.049,29773.74,1.597,0.7405,1,---
237,3336334,4108,4.52,0.5858,16.255,0.16,5052.51,0.6809999999999999,0.3965,0,---
238,3336483,4371,4.59,0.6916,30.595,0.172,8858.44,0.815,0.5062,0,---
239,3339107,4214,4.59,0.6283,48.653999999999996,1.45,2374.38,0.49,0.2508,0,SM1
240,3342636,4069,4.5,0.5702,25.644000000000002,0.084,14010.55,1.0090000000000001,0.6046,0,---
241,3342894,4118,4.53,0.5898,14.092,0.006999999999999999,14697.55,1.354,0.7386,0,---
242,3343392,4058,4.45,0.5658,17.245,0.187,6435.93,1.024,0.5837,0,---
243,3343664,4381,4.61,0.6957,22.704,0.126,17375.65,1.06,0.6297,0,---
244,3343967,4214,4.7,0.6283,34.57,0.309,9211.66,0.733,0.4507,0,---
245,3344220,3826,4.77,0.4749,15.655999999999999,0.622,3506.54,0.8490000000000001,0.4815,1,---
246,3344747,3876,4.45,0.4942,28.506,0.053,7256.81,0.941,0.5741,0,---
247,3345985,4342,4.69,0.6799,10.565,0.018000000000000002,12666.61,1.206,0.6358,0,---
248,3347046,4216,4.78,0.6291,15.773,0.055,8315.06,1.2,0.6704,0,---
249,3355476,4115,4.34,0.5886,12.228,0.525,3490.51,1.051,0.5746,0,---
250,3356936,4084,4.62,0.5762,31.247,0.33399999999999996,16211.18,1.194,0.6014,0,---
251,3357261,4008,4.49,0.546,39.139,0.149,6418.73,0.639,0.3837,0,---
252,3424335,4138,4.59,0.5978,14.936,0.14300000000000002,3469.35,0.642,0.371,0,---
253,3424832,4187,4.63,0.6174,19.535,0.055999999999999994,17744.78,1.561,0.7008,0,---
254,3425393,4368,4.62,0.6904,17.91,3.605,8855.07,1.051,0.605,0,---
255,3425850,3748,4.78,0.4452,17.362000000000002,0.10400000000000001,8127.51,1.222,0.6675,1,---
256,3426874,3742,4.77,0.4429,34.672,0.212,10832.85,1.036,0.5648,1,---
257,3429369,4352,4.52,0.684,17.347,0.035,15923.38,1.3219999999999998,0.696,0,---
258,3430287,4349,4.53,0.6828,0.469,0.006,53945.24,1.554,0.7311,0,---
259,3431662,4229,4.58,0.6343,19.128,0.023,10012.09,1.194,0.6823,0,---
260,3437392,4395,4.47,0.7013,32.621,0.687,3821.94,0.433,0.2886,0,---
261,3438817,3825,4.49,0.4745,37.159,1.4980000000000002,3783.2,0.917,0.5084,0,---
262,3439126,4088,4.32,0.5778,7.9,0.003,51793.99,1.706,0.7639,0,---
263,3440357,4325,4.62,0.6731,20.453,0.021,12467.83,1.069,0.6393,0,---
264,3441504,4273,4.87,0.6521,13.620999999999999,0.084,10708.09,1.261,0.6862,0,---
265,3442034,3724,4.51,0.4361,40.417,0.45,11138.86,0.9590000000000001,0.5147,0,---
266,3442269,4309,4.51,0.6666,19.613,0.27399999999999997,6777.79,0.75,0.4423,0,---
267,3443137,3550,4.87,0.3721,35.534,0.5770000000000001,5141.08,0.705,0.4714,1,---
268,3444822,3475,4.87,0.3455,34.012,7.099,11326.76,1.051,0.597,1,---
269,3446150,4403,4.49,0.7046,11.855,0.174,8361.97,1.219,0.6497,0,---
270,3446366,3999,4.69,0.5424,21.357,0.187,4372.89,0.75,0.4521,1,---
271,3446966,4195,4.33,0.6206,37.221,1.415,1885.95,0.552,0.3574,0,---
272,3448710,4168,4.57,0.6098,16.012999999999998,1.666,8499.68,1.193,0.6682,0,---
273,3449953,3683,4.35,0.4208,40.955,0.258,12091.34,1.264,0.6014,0,---
274,3449982,4389,4.47,0.6989,25.651999999999997,0.298,4052.16,0.547,0.3339,0,---
275,3454793,3428,4.9,0.3292,1.96,0.011000000000000001,39499.04,1.4180000000000001,0.6758,1,---
276,3456068,4377,4.64,0.6941,39.211999999999996,4.488,4082.98,0.5,0.3126,0,---
277,3456560,3430,4.9,0.3299,30.576999999999998,0.322,6424.01,0.5770000000000001,0.3731,1,---
278,3457337,3921,4.54,0.5118,18.320999999999998,0.225,6168.28,1.139,0.6437,0,---
279,3459917,4091,4.42,0.579,23.586,0.134,20180.17,1.35,0.6649,0,---
280,3525783,3966,4.68,0.5294,8.099,0.006,26933.91,1.546,0.7829999999999999,1,---
281,3526312,4217,4.5,0.6295,25.005,0.045,9254.52,1.172,0.6275,0,---
282,3526337,4364,4.59,0.6888,28.42,0.385,5482.61,0.745,0.5,0,---
283,3527038,3708,4.81,0.4301,40.883,0.5820000000000001,4665.14,0.534,0.3376,1,---
284,3527088,3757,4.77,0.4486,42.256,0.349,4523.25,0.537,0.3247,1,---
285,3527281,4299,4.54,0.6626,11.004000000000001,0.028999999999999998,11213.81,1.436,0.7609999999999999,0,---
286,3527308,3689,4.82,0.423,29.504,0.654,3991.54,0.6859999999999999,0.4479,1,---
287,3527979,4376,4.6,0.6937,17.421,0.075,7507.74,1.2,0.6913,0,---
288,3528588,3646,4.87,0.4071,15.954,0.099,9806.16,1.435,0.7569,1,---
289,3528986,4340,4.38,0.6791,22.128,0.063,10043.44,0.8240000000000001,0.5003,0,---
290,3530387,4315,4.58,0.669,0.54,0.003,103690.27,1.367,0.6587,0,---
291,3530780,4253,4.68,0.644,36.521,0.777,4605.47,0.413,0.3018,0,---
292,3531176,3503,4.92,0.3554,21.537,0.048,11415.84,1.334,0.7282,1,---
293,3532922,3395,4.92,0.3179,38.195,0.747,5312.38,0.8909999999999999,0.5311,1,---
294,3533109,4051,4.51,0.563,21.441,0.21899999999999997,3312.23,0.606,0.3644,0,---
